0000:Non-Res.Grp.:00:0000:00+000000+0000000+0000000000
0001:Actual Grp. :11:0000:00+000970+0000000+0618070605
0002:- Prev. Grp.:25:0000:00+002407+0000000+0617758536
0009:Grupo Diario:01:0000:00+000000+0000000+0000000000
0100:Total Diario:00:0000:00+000000+0000000+0000000000
0101:Grueso Vtas :17:0090:00+000312+0003095+0000312069
0102:V.Canceladas:17:0000:10+000011-0000151-0000014200
0103:Entrenamient:57:0000:10+000000+0000000+0000000000
0104:Reingreso   :57:0000:10+000000+0000000+0000000000
0105:Stock       :57:0000:00+000000+0000000+0000000000
0106:Transferen  :57:0000:00+000000+0000000+0000000000
0107:Art.Apartado:57:0000:00+000000+0000000+0000000000
0108:Suspender   :57:0000:30+000000+0000000+0000000000
0109:SUBTOTAL    :13:0000:00+000000+0000000+0000000000
0200:            :00:0000:00+000000+0000000+0000000000
0201:Costos      :57:0000:00+000000+0000000+0000000000
0202:Reembolso   :57:0000:00+000000+0000000+0000000000
0204:Art.Devuelto:17:0000:10+000000+0000000+0000000000
0205:Vta Devuelta:17:0000:10+000000+0000000+0000000000
0206:Vta Anulada :17:0000:10+000000+0000000+0000000000
0207:Retorno Art :17:0000:00+000000+0000000+0000000000
0208:Retorno Ult :17:0000:00+000000+0000000+0000000000
0209:Grueso Venta:13:0000:00+000000+0000000+0000000000
0300:            :00:0000:00+000000+0000000+0000000000
0301:Cambio Monto:17:0000:00+000000+0000000+0000000000
0302:Desc Art $  :17:0000:11+000000+0000000+0000000000
0303:Desc Art %  :1F:0200:11+000055+0000560-0000012764
0304:Prom.FARMAC :17:0200:01+000103+0000112-0000004714
0305:Spc.MixMatch:17:0000:01+000000+0000000+0000000000
0307:Empl.Disc.  :1F:0150:11+000000+0000000+0000000000
0308:Cust.Disc.  :1F:0200:01+000000+0000000+0000000000
0309:MERCH.SALES :11:0000:00+000000+0000000+0000000000
0400:            :00:0000:00+000000+0000000+0000000000
0401:TAX Rounding:57:0000:00+000000+0000000+0000000000
0402:Redondeo    :57:0000:00+000000+0000000+0000000000
0403:Sel.Discount:57:0000:01+000000+0000000+0000000000
